0	37.045	156.748	0.0444093	42.2162	-1
10	110.927	156.748	26.8	45.7023	-1
20	115.558	156.748	30.3155	47.0106	-1
30	121.765	156.748	33.8497	45.7548	-1
40	124.716	156.711	31.0822	43.9894	-1
50	125.402	156.668	32.7101	43.4881	-1
60	119.481	156.606	30.4353	45.8572	-1
70	122.501	156.567	21.826	46.903	-1
80	119.572	156.737	30.4353	46.8827	-1
90	119.684	156.504	33.7243	46.1941	-1
100	121.354	156.491	25.396	46.3529	-1
110	116.673	156.458	32.7997	47.4649	-1
120	119.744	156.458	32.128	48.2898	-1
130	122.955	156.458	31.7886	44.9602	-1
140	125.973	156.558	33.865	44.1488	-1
150	121.217	156.457	33.865	45.2766	-1
160	117.212	156.457	16.0985	46.5471	-1
170	119.318	156.457	16.0985	45.2507	-1
180	122.806	156.457	21.9562	46.5522	-1
190	121.865	156.457	33.3517	45.5553	-1
200	121.446	156.731	31.9695	48.0138	-1
210	118.111	156.718	33.3517	47.6723	-1
220	119.985	156.457	32.0599	45.4053	-1
230	126.932	156.457	25.7029	42.4659	-1
240	122.184	156.457	33.9196	45.3781	-1
250	125.357	156.457	53.7282	43.5837	-1
260	126.133	156.595	29.7955	43.2475	-1
270	119.883	156.661	23.703	45.7627	-1
280	115.715	156.457	29.7955	47.0203	-1
290	119.693	156.457	29.7955	47.6825	-1
300	117.35	156.456	29.5183	48.4652	-1
310	116.901	156.455	27.9447	48.7802	-1
320	115.147	156.72	29.1552	47.4957	-1
330	125.185	156.748	31.7225	46.0286	-1
340	116.906	156.454	29.6477	47.7971	-1
350	124.885	156.588	32.8883	45.4048	-1
360	117.93	156.454	28.7367	50.3861	-1
370	121.013	156.454	34.6728	44.8736	-1
380	119.101	156.454	28.045	48.4288	-1
390	120.757	156.454	31.4075	45.0724	-1
400	119.414	156.737	31.4075	46.5715	-1
410	130.227	156.485	33.1352	42.53	-1
420	123.707	156.728	22.6694	46.7021	-1
430	117.023	156.454	30.6741	48.7311	-1
440	121.885	156.454	30.1756	46.6563	-1
450	123.897	156.454	30.1756	47.8306	-1
460	120.554	156.454	30.1756	45.4694	-1
470	121.802	156.454	25.6363	47.1563	-1
480	122.077	156.581	32.7223	45.9797	-1
490	128.597	156.454	25.7916	40.1729	-1
500	123.977	156.748	25.7916	44.0694	-1
